response,model_id,model_label,status,nobs,AIC,BIC,logLik,converged,pdHess,warning_message,delta_AIC,uses_depth,depth_mode,random_mode,fixed_mode
tokudai,Y_year_only_D0_Ra,year + offset + (1|area),completed,1016,7642.199480845104,7676.664881242073,-3814.099740422552,TRUE,TRUE,,134.03008017333195,FALSE,none,area,year_only
tokudai,Y_year_only_Dc_Ra,year + depth_cat + offset + (1|area),completed,1016,7643.718456222597,7688.0311138758425,-3812.8592281112983,TRUE,TRUE,,135.54905555082496,TRUE,cat,area,year_only
tokudai,Y_year_only_D2_Rv,year + depth_quad + offset + (1|vessel),completed,1016,7643.937341303194,7688.24999895644,-3812.968670651597,TRUE,TRUE,,135.7679406314228,TRUE,quad,vessel,year_only
tokudai,Y_year_only_D0_Rv,year + offset + (1|vessel),completed,1016,7647.382220111426,7681.847620508395,-3816.691110055713,TRUE,TRUE,,139.2128194396546,FALSE,none,vessel,year_only
tokudai,Y_year_only_Dc_Rv,year + depth_cat + offset + (1|vessel),completed,1016,7648.548202170315,7692.8608598235605,-3815.2741010851573,TRUE,TRUE,,140.378801498543,TRUE,cat,vessel,year_only
tokudai,Y_year_only_D2_R0,year + depth_quad + offset,completed,1016,7724.509181594701,7763.898210619808,-3854.2545907973504,TRUE,TRUE,,216.3397809229291,TRUE,quad,none,year_only
tokudai,Y_year_only_D0_R0,year + offset,completed,1016,7725.746573521534,7755.288345290364,-3856.873286760767,TRUE,TRUE,,217.57717284976206,FALSE,none,none,year_only
tokudai,Y_year_only_Dc_R0,year + depth_cat + offset,completed,1016,7726.8498253979,7766.238854423007,-3855.42491269895,TRUE,TRUE,,218.68042472612797,TRUE,cat,none,year_only
count_total,YM_year_month_D0_Rav,year + month + offset + (1|area) + (1|vessel),completed,1016,11449.91421692822,11543.46316086285,-5705.95710846411,TRUE,TRUE,,0,FALSE,none,area_vessel,year_month
count_total,YM_year_month_Dc_Rav,year + month + depth_cat + offset + (1|area) + (1|vessel),completed,1016,11450.562910430252,11553.959111621158,-5704.281455215126,TRUE,TRUE,,0.6486935020311648,TRUE,cat,area_vessel,year_month
count_total,YM_year_month_D2_Rav,year + month + depth_quad + offset + (1|area) + (1|vessel),completed,1016,11451.257740489336,11554.653941680242,-5704.628870244668,TRUE,TRUE,,1.3435235611159442,TRUE,quad,area_vessel,year_month
count_total,Y_year_only_D2_Rav,year + depth_quad + offset + (1|area) + (1|vessel),completed,1016,11469.755761642244,11518.992047923628,-5724.877880821122,TRUE,TRUE,,19.841544714023257,TRUE,quad,area_vessel,year_only
count_total,Y_year_only_Dc_Rav,year + depth_cat + offset + (1|area) + (1|vessel),completed,1016,11471.337875579331,11520.574161860715,-5725.6689377896655,TRUE,TRUE,,21.4236586511106,TRUE,cat,area_vessel,year_only
count_total,Y_year_only_D0_Rav,year + offset + (1|area) + (1|vessel),completed,1016,11472.094052803888,11511.483081828996,-5728.047026401944,TRUE,TRUE,,22.179835875667777,FALSE,none,area_vessel,year_only
count_total,YM_year_month_D2_Ra,year + month + depth_quad + offset + (1|area),completed,1016,11483.483341502159,11581.955914064927,-5721.741670751079,TRUE,TRUE,,33.5691245739381,TRUE,quad,area,year_month
count_total,YM_year_month_D0_Ra,year + month + offset + (1|area),completed,1016,11484.250591463668,11572.87590677016,-5724.125295731834,TRUE,TRUE,,34.33637453544725,FALSE,none,area,year_month
count_total,YM_year_month_Dc_Ra,year + month + depth_cat + offset + (1|area),completed,1016,11487.236659270926,11585.709231833695,-5723.618329635463,TRUE,TRUE,,37.32244234270547,TRUE,cat,area,year_month
count_total,Y_year_only_D2_Ra,year + depth_quad + offset + (1|area),completed,1016,11502.501602101369,11546.814259754614,-5742.2508010506845,TRUE,TRUE,,52.587385173148505,TRUE,quad,area,year_only
